pINDEX,sLINE_NO,E_N83WTM,N_N83WTM,TIMESTAMP,RECORD,ELEVATION,ALT,NUMDATA,LM_Data_0,LM_Data_1,LM_Data_2,LM_Data_3,LM_Data_4,LM_Data_5,LM_Data_6,LM_Data_7,LM_Data_8,LM_Data_9,LM_Data_10,LM_Data_11,LM_Data_12,LM_Data_13,LM_Data_14,LM_Data_15,LM_Data_16,LM_Data_17,LM_Data_18,LM_Data_19,LM_Data_20,LM_Data_21,LM_Data_22,LM_Data_23,LM_Data_24,LM_Data_25,LM_Data_26,LM_DataSTD_0,LM_DataSTD_1,LM_DataSTD_2,LM_DataSTD_3,LM_DataSTD_4,LM_DataSTD_5,LM_DataSTD_6,LM_DataSTD_7,LM_DataSTD_8,LM_DataSTD_9,LM_DataSTD_10,LM_DataSTD_11,LM_DataSTD_12,LM_DataSTD_13,LM_DataSTD_14,LM_DataSTD_15,LM_DataSTD_16,LM_DataSTD_17,LM_DataSTD_18,LM_DataSTD_19,LM_DataSTD_20,LM_DataSTD_21,LM_DataSTD_22,LM_DataSTD_23,LM_DataSTD_24,LM_DataSTD_25,LM_DataSTD_26,HM_Data_0,HM_Data_1,HM_Data_2,HM_Data_3,HM_Data_4,HM_Data_5,HM_Data_6,HM_Data_7,HM_Data_8,HM_Data_9,HM_Data_10,HM_Data_11,HM_Data_12,HM_Data_13,HM_Data_14,HM_Data_15,HM_Data_16,HM_Data_17,HM_Data_18,HM_Data_19,HM_Data_20,HM_Data_21,HM_DataSTD_0,HM_DataSTD_1,HM_DataSTD_2,HM_DataSTD_3,HM_DataSTD_4,HM_DataSTD_5,HM_DataSTD_6,HM_DataSTD_7,HM_DataSTD_8,HM_DataSTD_9,HM_DataSTD_10,HM_DataSTD_11,HM_DataSTD_12,HM_DataSTD_13,HM_DataSTD_14,HM_DataSTD_15,HM_DataSTD_16,HM_DataSTD_17,HM_DataSTD_18,HM_DataSTD_19,HM_DataSTD_20,HM_DataSTD_21,TX_ALTITUDE,TX_ALTITUDE_STD,RX_ALTITUDE,RX_ALTITUDE_STD,txrx_dx,txrx_dy,txrx_dz,LINE_NO
0,100100.0,724288.6,491578.8,44216.7185590278,19.0,177.1,98.63,27.0,-1.0234e-09,-6.0702e-09,2.1904e-09,1.2673e-09,5.9971e-10,4.5234e-10,2.814e-10,1.6819e-10,9.2573e-11,6.8655e-11,4.0702e-11,2.4246e-11,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,7.49e-11,2.73e-10,7.51e-11,3.93e-11,2.02e-11,1.61e-11,1.17e-11,6.37e-12,7.81e-12,3.13e-12,3.07e-12,2.31e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,3.1754e-11,2.2614e-11,1.6418e-11,1.207e-11,8.8363e-12,6.4591e-12,4.7076e-12,3.5409e-12,2.7398e-12,2.057e-12,1.4942e-12,1.2491e-12,1.0906e-12,9.3889e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.56e-13,6.83e-13,4.97e-13,3.67e-13,2.7e-13,1.99e-13,1.46e-13,1.16e-13,8.55e-14,6.81e-14,5.35e-14,5.13e-14,3.99e-14,5.3e-14,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,98.63,0.03,99.72,0.03,-13.25,0.0,1.09,100101.0
104,100200.0,721140.2,491960.7,44216.7207696759,119.0,180.3,54.11,40.0,-5.4357e-09,-1.0061e-08,7.4415e-09,1.793e-09,7.2456e-10,5.6754e-10,4.8772e-10,2.9561e-10,1.8091e-10,1.5178e-10,1.0064e-10,7.7164e-11,-9999.99,4.3947e-11,3.0088e-11,2.1038e-11,1.5149e-11,9.0556e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,1.65e-10,3.2e-10,2.24e-10,5.43e-11,2.38e-11,1.98e-11,1.57e-11,9.52e-12,6.26e-12,5.08e-12,3.63e-12,3.33e-12,-9999.99,1.79e-12,1.2e-12,2.4e-12,6.68e-13,4.56e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.1608e-11,6.769e-11,5.038e-11,3.7953e-11,2.7909e-11,1.8719e-11,1.3781e-11,9.5029e-12,6.6871e-12,4.9561e-12,3.7222e-12,2.8933e-12,2.1433e-12,1.4965e-12,1.0175e-12,7.0409e-13,4.4094e-13,2.7202e-13,1.7368e-13,1.0538e-13,7.0526e-14,-9999.99,2.75e-12,2.03e-12,1.52e-12,1.14e-12,8.37e-13,5.62e-13,4.15e-13,2.87e-13,2.01e-13,1.49e-13,1.12e-13,8.74e-14,6.47e-14,4.58e-14,3.13e-14,2.18e-14,1.43e-14,9.3e-15,7.66e-15,6.83e-15,9.94e-15,54.11,0.055,55.165,0.055,-13.25,0.0,1.05,100201.0
212,100200.0,724785.6,490590.8,44216.7225868056,219.0,199.3,49.59,18.0,-3.6608e-09,-5.0175e-09,6.9971e-09,1.2123e-09,2.0257e-10,2.6129e-10,-9999.99,-9999.99,1.0675e-10,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,1.32e-10,4e-10,2.15e-10,3.9e-11,1.93e-11,1.48e-11,-9999.99,-9999.99,5.96e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,2.686e-11,2.198e-11,1.6082e-11,1.319e-11,9.7982e-12,7.3246e-12,5.4825e-12,3.6901e-12,2.8365e-12,2.1944e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,8.14e-13,6.77e-13,5.08e-13,4.01e-13,2.95e-13,2.21e-13,1.66e-13,1.13e-13,8.76e-14,6.82e-14,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,49.585,0.061,50.69,0.061,-13.25,0.0,1.1,100201.0
322,100300.0,722165.9,490667.3,44216.7250983796,319.0,218.4,42.56,27.0,-1.143e-08,-8.5994e-09,1.55e-08,2.9561e-09,7.0994e-10,4.1842e-10,2.0082e-10,1.6333e-10,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,3.44e-10,2.94e-10,4.65e-10,8.93e-11,2.44e-11,1.87e-11,7.99e-12,6.3e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,4.6725e-11,3.4912e-11,2.6149e-11,1.9126e-11,1.3596e-11,1.0018e-11,7.2749e-12,5.193e-12,3.7076e-12,2.9532e-12,2.2632e-12,1.7023e-12,1.1784e-12,8.7485e-13,5.7485e-13,3.9766e-13,2.4237e-13,1.3673e-13,-9999.99,-9999.99,-9999.99,-9999.99,1.41e-12,1.05e-12,7.9e-13,5.8e-13,4.11e-13,3.03e-13,2.2e-13,1.58e-13,1.12e-13,9.01e-14,6.93e-14,5.29e-14,3.72e-14,2.97e-14,2.15e-14,1.96e-14,1.42e-14,1.23e-14,-9999.99,-9999.99,-9999.99,39.765,0.0775,41.21,0.077,-13.25,0.0,1.45,100301.0
429,100400.0,720290.8,490617.8,44216.7270775463,419.0,180.5,41.9,39.0,-1.3322e-08,-1.8939e-08,1.9661e-08,4.9444e-09,1.3678e-09,8.7807e-10,6.2135e-10,4.2076e-10,2.7883e-10,2.1029e-10,1.3503e-10,1.0412e-10,-9999.99,4.5731e-11,3.1199e-11,2.1942e-11,1.2032e-11,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,4.01e-10,5.78e-10,5.9e-10,1.49e-10,4.17e-11,2.8e-11,1.91e-11,1.32e-11,9.03e-12,6.65e-12,4.52e-12,3.35e-12,-9999.99,1.59e-12,1.22e-12,8.51e-13,5.31e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,1.3003e-10,9.4064e-11,6.6608e-11,4.5585e-11,3.2018e-11,2.2035e-11,1.5342e-11,1.1061e-11,7.9883e-12,5.9181e-12,4.2544e-12,3.152e-12,2.126e-12,1.4637e-12,9.5789e-13,6.3596e-13,3.3099e-13,2.2287e-13,1.105e-13,5.9474e-14,3.4649e-14,-9999.99,3.9e-12,2.82e-12,2e-12,1.37e-12,9.61e-13,6.61e-13,4.6e-13,3.33e-13,2.4e-13,1.78e-13,1.28e-13,9.49e-14,6.42e-14,4.42e-14,2.94e-14,1.97e-14,1.05e-14,7.58e-15,4.7e-15,4.1e-15,2.12e-14,41.895,0.0715,43.11,0.0715,-13.25,0.0,1.22,100401.0
531,100400.0,723027.8,489481.9,44216.7285243056,519.0,216.0,55.66,8.0,-6.5263e-09,-1.5912e-08,1.1418e-08,5.2281e-09,2.1266e-09,1.2553e-09,6.0614e-10,2.8383e-10,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,2.01e-10,4.9e-10,3.44e-10,1.57e-10,6.44e-11,3.85e-11,1.92e-11,9.79e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,55.66,0.053,57.5,0.053,-13.25,0.0,1.84,100401.0
641,100500.0,723015.7,488628.2,44216.731244213,619.0,217.2,43.09,25.0,-9.0556e-09,-8.1404e-09,1.3801e-08,2.55e-09,4.7661e-10,2.4474e-10,2.3564e-10,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,2.73e-10,2.53e-10,4.14e-10,7.73e-11,1.79e-11,1.23e-11,9.21e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,2.6143e-11,2.0377e-11,1.5307e-11,1.2316e-11,9.3275e-12,7.1462e-12,5.0614e-12,3.7456e-12,2.7088e-12,2.1339e-12,1.5863e-12,1.2678e-12,9.7661e-13,7.8275e-13,5.8918e-13,4.6257e-13,3.5175e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,7.92e-13,6.15e-13,4.62e-13,3.71e-13,2.8e-13,2.16e-13,1.53e-13,1.14e-13,8.32e-14,6.51e-14,4.93e-14,3.9e-14,3.05e-14,2.48e-14,1.91e-14,1.67e-14,1.35e-14,-9999.99,-9999.99,-9999.99,-9999.99,43.085,0.068,44.755,0.068,-13.25,0.0,1.67,100501.0
743,100500.0,719706.4,489930.7,44216.732818287,719.0,183.9,51.02,42.0,-6.2135e-09,-9.6637e-09,9.3012e-09,1.7985e-09,6.8304e-10,5.2339e-10,3.4766e-10,2.5161e-10,2.0687e-10,1.6892e-10,1.2538e-10,8.3713e-11,-9999.99,3.152e-11,2.2798e-11,1.6161e-11,1.2716e-11,8.9181e-12,7.9503e-12,4.193e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,1.87e-10,2.96e-10,2.79e-10,5.54e-11,2.27e-11,1.83e-11,1.14e-11,8.23e-12,6.76e-12,6.06e-12,4.15e-12,2.98e-12,-9999.99,1.91e-12,9.16e-13,6.76e-13,5.11e-13,5.79e-13,5.49e-13,7.51e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.6608e-11,7.0673e-11,5.1111e-11,3.5936e-11,2.5614e-11,1.7997e-11,1.2433e-11,8.9415e-12,6.5614e-12,4.9327e-12,3.693e-12,2.7658e-12,1.9775e-12,1.369e-12,9.1988e-13,5.8977e-13,3.7339e-13,2.114e-13,1.4208e-13,7.5146e-14,3.9971e-14,-9999.99,2.9e-12,2.12e-12,1.53e-12,1.08e-12,7.68e-13,5.4e-13,3.73e-13,2.69e-13,1.97e-13,1.48e-13,1.11e-13,8.33e-14,5.97e-14,4.15e-14,2.81e-14,1.82e-14,1.18e-14,7.31e-15,1.66e-14,6.12e-15,7.51e-14,51.015,0.058,52.68,0.058,-13.25,0.0,1.66,100501.0
847,100600.0,719889.1,489029.5,44216.7354456018,819.0,201.0,40.37,43.0,-1.9544e-08,-6.6579e-08,1.3637e-08,1.7184e-08,1.1304e-08,8.4444e-09,6.0263e-09,3.9883e-09,2.4e-09,1.3977e-09,7.7749e-10,4.1404e-10,-9999.99,1.0105e-10,5.4649e-11,2.5152e-11,1.8687e-11,1.1968e-11,8.6082e-12,4.655e-12,2.8442e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,5.86e-10,2e-09,4.09e-10,5.16e-10,3.39e-10,2.53e-10,1.81e-10,1.2e-10,7.2e-11,4.19e-11,2.34e-11,1.25e-11,-9999.99,3.18e-12,1.85e-12,8.93e-13,9.72e-13,7.6e-13,1.3e-12,8.01e-13,1.99e-12,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,6.0731e-10,3.155e-10,1.5953e-10,8.2164e-11,4.3567e-11,2.4883e-11,1.5322e-11,9.8421e-12,6.5994e-12,4.6082e-12,3.3392e-12,2.4953e-12,1.8544e-12,1.381e-12,9.3392e-13,6.4678e-13,3.7924e-13,2.5807e-13,1.5395e-13,9.5205e-14,5.5643e-14,-9999.99,1.82e-11,9.46e-12,4.79e-12,2.46e-12,1.31e-12,7.46e-13,4.6e-13,2.96e-13,1.99e-13,1.39e-13,1.01e-13,7.51e-14,5.6e-14,4.18e-14,2.86e-14,2.04e-14,1.24e-14,8.72e-15,6.7e-15,4.49e-15,7.73e-15,40.37,0.0725,42.4,0.0725,-13.25,0.0,2.03,100601.0
951,100600.0,722597.1,487713.6,44216.7369502315,919.0,215.8,45.96,18.0,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,3.2456e-11,2.2649e-11,1.9664e-11,1.7576e-11,1.1135e-11,7.1199e-12,7.6608e-12,4.8363e-12,3.2193e-12,2.502e-12,2.0219e-12,1.231e-12,9.8655e-13,7.2982e-13,5.8158e-13,4.7632e-13,3.1345e-13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.8e-13,6.86e-13,6.04e-13,5.31e-13,3.39e-13,2.16e-13,2.35e-13,1.5e-13,9.79e-14,7.73e-14,6.33e-14,3.96e-14,5.54e-14,4.64e-14,3.12e-14,2.18e-14,1.86e-14,-9999.99,-9999.99,-9999.99,-9999.99,46.025,0.064,47.66,0.064,-13.25,0.0,1.63,100601.0
