variable_name,standard_name,long_name,units,missing_value,dtype,raw_data_columns,dimensions,datum,positive,system_couplet
LINE,,Line Number,#,,,,,,,
LAT_WGS84_dd,latitude,"Latitude, World Geodetic Survey of 1984 (WGS84) of EM Bird Transmitter (TX)",Decimal degrees,,,,,,,
LON_WGS84_dd,longitude,"Longitude, World Geodetic Survey of 1984 (WGS84) of EM Bird Transmitter (TX)",Decimal degrees,,,,,,,
X_WGS84_Albers,easting,"Easting in Albers Equal-Area Conic, World Geodetic Survey of 1984 (WGS84) of EM Bird Transmitter (TX)",Meters (m),,,,,,,
Y_WGS84_Albers,northing,"Northing in Albers Equal-Area Conic, World Geodetic Survey of 1984 (WGS84) of EM Bird Transmitter (TX)",Meters (m),,,,,,,
RECORD,,Unique identifier for model location,n/a,,,,,,,
DEM,,Digital Elevation Model derived from USGS National Map 3D Elevation Program dataset,Meters (m),,,,,North American Vertical Datum 1988 (NAVD88),up,
ALT,altitude,Altitude of EM bird transmitter above ground surface,Meters (m),,,,,,,
INVALT,,Altitude of EM bird transmitter as solved by the inversion process,Meters (m),,,,,,,
INVALTSTD,,Standard deviation of inverted altitude,Meters (m),,,,,,,
DELTAALT,,Difference between recorded and inverted altitude,Meters (m),,,,,,,
NUMDATA,,Number of data points used in the inversion,n/a,,,,,,,
RESDATA,,Total residual of the individual soundings,n/a,,,,,,,
RESTOTAL,,Total residual of the data points,n/a,,,,,,,
RHO_I,resistivity,Resistivity of layer i with depth of investigation masked by DOI_Standard,Ohm-meter (ohm-m),,,,"[index, layer_depth]",,,
RHO_I_STD,,"Standard deviation of resistivity of layer; ""99"" indicates completely unconstrained",Ohm-meter (ohm-m),,,,"[index, layer_depth]",,,
DEP_TOP,depth_top,Depth to top of layer,Meters (m),,,,"[index, layer_depth]",,,
DEP_BOT,depth_bottom,Depth to the bottom of layer,Meters (m),,,,"[index, layer_depth]",,,
DOI_CONSERVATIVE,,Conservative (shallow) calculated depth of investigation,Meters (m),,,,,,,
DOI_STANDARD,,Standard (deep) calculated depth of investigation,Meters (m),,,,,,,
